|     Nome     |   Nota   |   Disciplina   |
|--------------|----------|----------------|
|   João       |   9.5    |   Impressão 3D |
|   Maria      |   8.7    |   Design 3D    |
|   Pedro      |   7.2    |   Tecnologia   |
|   Ana        |   9.0    |   Impressão 3D |
|   Lucas      |   8.0    |   Design 3D    |
|   Beatriz    |   7.8    |   Tecnologia   |
|   Guilherme  |   8.9    |   Impressão 3D |
|   Laura      |   7.5    |   Design 3D    |
|   Rafael     |   7.1    |   Tecnologia   |
|   Camila     |   9.3    |   Impressão 3D |
|   Gabriel    |   8.2    |   Design 3D    |
|   Sofia      |   7.7    |   Tecnologia   |
|   Mateus     |   9.1    |   Impressão 3D |
|   Isabela    |   7.4    |   Design 3D    |
|   Thiago     |   7.0    |   Tecnologia   |
|   Larissa    |   8.8    |   Impressão 3D |
|   Daniel     |   8.5    |   Design 3D    |
|   Alice      |   7.9    |   Tecnologia   |
|   André      |   9.2    |   Impressão 3D |
|   Clara      |   7.3    |   Design 3D    |
|   Gustavo    |   6.8    |   Tecnologia   |
|   Helena     |   8.6    |   Impressão 3D |
|   Diego      |   8.3    |   Design 3D    |
|   Julia      |   7.6    |   Tecnologia   |
|   Luiz       |   9.4    |   Impressão 3D |
|   Fernanda   |   7.7    |   Design 3D    |
|   Carlos     |   7.2    |   Tecnologia   |
|   Bruna      |   8.7    |   Impressão 3D |
|   Ricardo    |   8.1    |   Design 3D    |
|   Aline      |   7.0    |   Tecnologia   |
|   Leonardo   |   9.0    |   Impressão 3D |
|   Juliana    |   7.5    |   Design 3D    |
|   Marcelo    |   7.4    |   Tecnologia   |
|   Amanda     |   8.5    |   Impressão 3D |
|   Rodrigo    |   8.2    |   Design 3D    |
|   Sofia      |   7.9    |   Tecnologia   |
|   Luana      |   9.3    |   Impressão 3D |
|   Gabriel    |   7.1    |   Design 3D    |
|   Luiz       |   6.9    |   Tecnologia   |
|   Isabella   |   8.9    |   Impressão 3D |
|   Mariana    |   7.6    |   Design 3D    |
|   Vitor      |   7.3    |   Tecnologia   |
|   Vanessa    |   9.1    |   Impressão 3D |
|   Matheus    |   7.2    |   Design 3D    |
|   Laura      |   7.0    |   Tecnologia   |
|   João       |   8.8    |   Impressão 3D |
|   Carol      |   8.4    |   Design 3D    |
|   Rafaela    |   7.7    |   Tecnologia   |
|   Eduardo    |   9.0    |   Impressão 3D |
|   Letícia    |   7.9    |   Design 3D    |
|   Marcos     |   7.5    |   Tecnologia   |
|   Larissa    |   8.6    |   Impressão 3D |
|   Daniel     |   8.2    |   Design 3D    |
|   Bianca     |   7.2    |   Tecnologia   |
|   Lucas      |   9.3    |   Impressão 3D |
|   Natália    |   7.1    |   Design 3D    |
|   Gustavo    |   6.8    |   Tecnologia   |
|   Elisa      |   8.9    |   Impressão 3D |
|   Rafael     |   7.4    |   Design 3D    |
|   Amanda     |   7.0    |   Tecnologia   |
|   Felipe     |   9.2    |   Impressão 3D |
|   Carolina   |   7.5    |   Design 3D    |
|   André      |   7.3    |   Tecnologia   |
|   Camila     |   8.8    |   Impressão 3D |
|   Guilherme  |   8.1    |   Design 3D    |
|   Patricia   |   7.6    |   Tecnologia   |
|   Thiago     |   8.7    |   Impressão 3D |
|   Bruna      |   7.2    |   Design 3D    |
|   Lucas      |   6.9    |   Tecnologia   |
